Santa Barbara County, California, Maximum Temperature, January
Units: Degrees Fahrenheit
Missing: -99
Date,Value
192001,61.6
192101,58.0
192201,54.2
192301,58.1
192401,61.6
192501,60.0
192601,61.0
192701,58.0
192801,62.0
192901,55.6
193001,55.5
193101,58.9
193201,53.6
193301,54.6
193401,61.2
193501,56.5
193601,60.3
193701,47.9
193801,60.9
193901,57.7
194001,58.1
194101,58.6
194201,59.0
194301,58.8
194401,58.5
194501,58.7
194601,59.3
194701,58.7
194801,63.1
194901,48.9
195001,53.3
195101,58.4
195201,53.8
195301,62.3
195401,56.1
195501,54.1
195601,56.2
195701,53.7
195801,61.3
195901,62.5
196001,55.1
196101,64.5
196201,60.1
196301,58.1
196401,58.9
196501,59.0
196601,56.9
196701,60.4
196801,59.0
196901,57.8
197001,59.3
197101,58.5
197201,58.0
197301,55.6
197401,55.7
197501,61.8
197601,65.0
197701,59.5
197801,59.3
197901,54.7
198001,60.7
198101,62.3
198201,56.5
198301,61.6
198401,62.2
198501,57.7
198601,64.9
198701,58.6
198801,59.7
198901,59.6
199001,61.1
199101,61.0
199201,62.6
199301,58.1
199401,64.4
199501,57.7
199601,62.6
199701,59.1
199801,60.1
199901,62.7
200001,61.5
200101,59.3
200201,59.3
200301,67.5
200401,60.1
200501,60.3
200601,61.1
200701,60.2
200801,57.5
200901,66.4
201001,61.7
201101,63.6
201201,65.5
201301,60.6
201401,70.6
201501,66.5
201601,60.2
201701,57.8
201801,66.7
201901,61.5
202001,62.6
